,County,State,Hospital Count
0,Abbeville County,SC,1
1,Acadia Parish,LA,19
2,Accomack County,VA,1
3,Ada County,ID,20
4,Adair County,IA,1
5,Adair County,KY,4
6,Adair County,MO,5
7,Adair County,OK,20
8,Adams County,CO,20
9,Adams County,IA,1
10,Adams County,ID,1
11,Adams County,IL,8
12,Adams County,IN,7
13,Adams County,MS,14
14,Adams County,ND,2
15,Adams County,NE,4
16,Adams County,OH,2
17,Adams County,PA,13
18,Adams County,WA,2
19,Adams County,WI,2
20,Addison County,VT,8
21,Adjuntas Municipio,PR,5
22,Aguada Municipio,PR,20
23,Aguadilla Municipio,PR,1
24,Aguas Buenas Municipio,PR,20
25,Aibonito Municipio,PR,3
26,Aiken County,SC,1
27,Aitkin County,MN,1
28,Alabama,AL,20
29,Alachua County,FL,20
30,Alamance County,NC,1
31,Alameda County,CA,15
32,Alamosa County,CO,1
33,Alaska,AK,20
34,Albany County,NY,17
35,Albany County,WY,4
36,Albemarle County,VA,20
37,Alcona County,MI,20
38,Alcorn County,MS,6
39,Aleutians East,AK,1
40,Alexander County,IL,20
41,Alexander County,NC,20
42,Alexandria City,VA,20
43,Alfalfa County,OK,13
44,Alger County,MI,2
45,Allamakee County,IA,6
46,Allegan County,MI,1
47,Allegany County,MD,7
48,Allegany County,NY,7
49,Alleghany County,NC,1
50,Alleghany County,VA,1
51,Allegheny County,PA,20
52,Allen County,IN,1
53,Allen County,KS,2
54,Allen County,KY,1
55,Allen County,OH,17
56,Allen Parish,LA,2
57,Allendale County,SC,1
58,Alpena County,MI,5
59,Alpine County,CA,5
60,Amador County,CA,6
61,Amelia County,VA,16
62,American Samoa,AS,2
63,American Samoa County,AS,1
64,Amherst County,VA,14
65,Amite County,MS,11
66,Anasco Municipio,PR,2
67,Anchorage,AK,20
68,Anderson County,KS,1
69,Anderson County,KY,16
70,Anderson County,SC,20
71,Anderson County,TN,20
72,Anderson County,TX,12
73,Andrew County,MO,7
74,Androscoggin County,ME,20
75,Angelina County,TX,20
76,Anne Arundel County,MD,20
77,Anoka County,MN,20
78,Anson County,NC,1
79,Antelope County,NE,3
80,Antrim County,MI,19
81,Apache County,AZ,13
82,Appanoose County,IA,5
83,Appling County,GA,1
84,Appomattox County,VA,15
85,Aransas County,TX,3
86,Arapahoe County,CO,20
87,Archer County,TX,17
88,Archuleta County,CO,11
89,Arecibo Municipio,PR,14
90,Arenac County,MI,11
91,Arizona,AZ,20
92,Arkansas,AR,20
93,Arkansas County,AR,8
