State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,January,Number of Deaths,4034,,100,0,
AK,AK,2015,February,Number of Deaths,4084,,100,0,
AK,AK,2015,March,Number of Deaths,4101,,100,0,
AK,AK,2015,April,Number of Deaths,4133,,100,0,
AK,AK,2015,May,Number of Deaths,4196,,100,0,
AK,AK,2015,June,Number of Deaths,4201,,100,0,
AK,AK,2015,July,Number of Deaths,4220,,100,0,
AK,AK,2015,August,Number of Deaths,4222,,100,0,
AK,AK,2015,September,Number of Deaths,4242,,100,0,
AK,AK,2015,October,Number of Deaths,4241,,100,0,
AK,AK,2015,November,Number of Deaths,4219,,100,0,
AK,AK,2015,December,Number of Deaths,4193,,100,0,
AK,AK,2016,January,Number of Deaths,4213,,100,0,
AK,AK,2016,February,Number of Deaths,4198,,100,0,
AK,AK,2016,March,Number of Deaths,4230,,100,0,
AK,AK,2016,April,Number of Deaths,4262,,100,0,
AK,AK,2016,May,Number of Deaths,4241,,100,0,
AK,AK,2016,June,Number of Deaths,4261,,100,0,
AK,AK,2016,July,Number of Deaths,4269,,100,0,
AK,AK,2016,August,Number of Deaths,4276,,100,0.0233863423760524,
AK,AK,2016,September,Number of Deaths,4256,,100,0.0469924812030075,
AK,AK,2016,October,Number of Deaths,4291,,100,0.0699137730132836,
AK,AK,2016,November,Number of Deaths,4289,,100,0.0699463744462579,
AK,AK,2016,December,Number of Deaths,4355,,100,0.068886337543054,
AK,AK,2017,January,Number of Deaths,4374,,100,0.0685871056241426,Underreported due to incomplete data
AK,AK,2017,February,Number of Deaths,4347,,100,0.0690131124913734,Underreported due to incomplete data
AK,AK,2017,March,Number of Deaths,4359,,100,0.0688231245698555,Underreported due to incomplete data
AK,AK,2017,April,Number of Deaths,4325,,100,0.069364161849711,Underreported due to incomplete data
AK,AK,2017,May,Number of Deaths,4277,,100,0.0701426233341127,Underreported due to incomplete data
AK,AK,2017,June,Number of Deaths,4276,,100,0.0701590271281572,Underreported due to incomplete data
AK,AK,2017,July,Number of Deaths,4237,,100,0.0708048147274015,Underreported due to incomplete data
AK,AK,2017,August,Number of Deaths,4235,,100,0.0472255017709563,Underreported due to incomplete data
AK,AK,2017,September,Number of Deaths,4300,,100,0.0232558139534884,Underreported due to incomplete data
AK,AK,2017,October,Number of Deaths,4284,,100,0,Underreported due to incomplete data
AK,AK,2017,November,Number of Deaths,4309,,100,0,Underreported due to incomplete data
AK,AK,2017,December,Number of Deaths,4280,,100,0,Underreported due to incomplete data
AK,AK,2018,January,Number of Deaths,4260,,100,0,Underreported due to incomplete data
