,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,CountyName,StateName
0,852711.0,196990.0,12335.0,173556.0,3764.0,58196.0,1126170.0,"Los Angeles County, California",037,06,Los Angeles , California
1,28174.0,1412.0,460.0,417.0,6.0,879.0,23490.0,"Madera County, California",039,06,Madera , California
2,13338.0,1471.0,205.0,1443.0,33.0,1191.0,8138.0,"Marin County, California",041,06,Marin , California
3,2394.0,34.0,191.0,23.0,0.0,49.0,556.0,"Mariposa County, California",043,06,Mariposa , California
4,13023.0,199.0,1269.0,325.0,43.0,751.0,5829.0,"Mendocino County, California",045,06,Mendocino , California
5,39303.0,2714.0,630.0,4756.0,11.0,3027.0,43589.0,"Merced County, California",047,06,Merced , California
6,1547.0,46.0,110.0,7.0,0.0,143.0,454.0,"Modoc County, California",049,06,Modoc , California
7,347.0,27.0,85.0,0.0,0.0,5.0,296.0,"Mono County, California",051,06,Mono , California
8,54340.0,1694.0,1506.0,2516.0,133.0,1722.0,53561.0,"Monterey County, California",053,06,Monterey , California
9,10723.0,446.0,88.0,541.0,35.0,627.0,6633.0,"Napa County, California",055,06,Napa , California
10,11121.0,76.0,92.0,153.0,7.0,323.0,1694.0,"Nevada County, California",057,06,Nevada , California
11,208177.0,7432.0,2214.0,69756.0,945.0,13860.0,211433.0,"Orange County, California",059,06,Orange , California
12,24821.0,1141.0,284.0,1259.0,62.0,2291.0,7860.0,"Placer County, California",061,06,Placer , California
13,2564.0,43.0,238.0,47.0,0.0,57.0,272.0,"Plumas County, California",063,06,Plumas , California
14,215398.0,30263.0,5337.0,12761.0,2509.0,15655.0,234815.0,"Riverside County, California",065,06,Riverside , California
15,127115.0,40895.0,2780.0,38157.0,2924.0,19360.0,79849.0,"Sacramento County, California",067,06,Sacramento , California
16,6067.0,86.0,28.0,54.0,13.0,185.0,5012.0,"San Benito County, California",069,06,San Benito , California
17,222727.0,46933.0,4112.0,16128.0,883.0,15918.0,237748.0,"San Bernardino County, California",071,06,San Bernardino , California
18,303980.0,32054.0,3808.0,39421.0,2337.0,21635.0,209416.0,"San Diego County, California",073,06,San Diego , California
19,41089.0,13867.0,637.0,37975.0,845.0,5500.0,19664.0,"San Francisco County, California",075,06,San Francisco , California
20,65484.0,15004.0,1634.0,18724.0,741.0,10585.0,69394.0,"San Joaquin County, California",077,06,San Joaquin , California
21,31032.0,880.0,309.0,1721.0,8.0,1400.0,11621.0,"San Luis Obispo County, California",079,06,San Luis Obispo , California
22,28941.0,2665.0,456.0,11387.0,1019.0,2177.0,24179.0,"San Mateo County, California",081,06,San Mateo , California
23,46173.0,1566.0,1330.0,3859.0,46.0,2890.0,39623.0,"Santa Barbara County, California",083,06,Santa Barbara , California
24,84204.0,8640.0,1727.0,46368.0,1008.0,7001.0,82551.0,"Santa Clara County, California",085,06,Santa Clara , California
25,27806.0,468.0,331.0,1952.0,126.0,2043.0,18397.0,"Santa Cruz County, California",087,06,Santa Cruz , California
26,25344.0,644.0,878.0,948.0,51.0,2110.0,4478.0,"Shasta County, California",089,06,Shasta , California
27,382.0,2.0,0.0,1.0,0.0,6.0,119.0,"Sierra County, California",091,06,Sierra , California
28,8059.0,150.0,548.0,118.0,95.0,665.0,1627.0,"Siskiyou County, California",093,06,Siskiyou , California
29,24479.0,12052.0,478.0,4849.0,323.0,3913.0,19106.0,"Solano County, California",095,06,Solano , California
30,41720.0,1331.0,1037.0,2350.0,184.0,2304.0,24264.0,"Sonoma County, California",097,06,Sonoma , California
31,74150.0,4611.0,1320.0,4329.0,1203.0,4853.0,59989.0,"Stanislaus County, California",099,06,Stanislaus , California
32,9488.0,394.0,342.0,2378.0,140.0,1228.0,7275.0,"Sutter County, California",101,06,Sutter , California
33,9677.0,136.0,455.0,63.0,18.0,491.0,3193.0,"Tehama County, California",103,06,Tehama , California
34,2093.0,0.0,138.0,21.0,63.0,156.0,247.0,"Trinity County, California",105,06,Trinity , California
