State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
LA,Franklin Parish,1096.5,Overall,Overall,32.140942,-91.668258,14
LA,Caldwell Parish,853.9,Overall,Overall,32.097113,-92.111936,6
ND,Sioux County,762.7,Overall,Overall,46.110686,-101.048935,2
AL,Wilcox County,758.0,Overall,Overall,31.997603,-87.309377,3
MO,Washington County,744.8,Overall,Overall,37.962921,-90.883411,20
SC,Marlboro County,738.9,Overall,Overall,34.600808,-79.679058,20
VA,Greensville County,735.9,Overall,Overall,36.682771,-77.562017,20
MS,Webster County,703.2,Overall,Overall,33.616977,-89.277813,10
AR,Desha County,698.2,Overall,Overall,33.837396,-91.243883,11
MS,Neshoba County,696.0,Overall,Overall,32.7541,-89.114888,15
GA,Jeff Davis County,683.0,Overall,Overall,31.801325,-82.633199,20
TN,Hardin County,679.2,Overall,Overall,35.20399,-88.187073,20
KY,Breathitt County,673.5,Overall,Overall,37.527911,-83.328738,20
MS,Panola County,671.8,Overall,Overall,34.371635,-89.947644,20
MO,Pemiscot County,669.4,Overall,Overall,36.21205,-89.787284,20
MS,Tunica County,668.4,Overall,Overall,34.653304,-90.37199,20
AL,Walker County,668.2,Overall,Overall,33.808663,-87.297984,20
KY,Wolfe County,660.9,Overall,Overall,37.741617,-83.498395,19
OK,Choctaw County,659.7,Overall,Overall,34.031472,-95.555596,9
LA,Catahoula Parish,659.2,Overall,Overall,31.673371,-91.842346,11
LA,Madison Parish,653.1,Overall,Overall,32.374207,-91.243839,20
KY,Owsley County,649.9,Overall,Overall,37.420877,-83.691211,20
KY,Perry County,642.8,Overall,Overall,37.251943,-83.227123,20
OK,Atoka County,642.3,Overall,Overall,34.38021,-96.037164,12
OK,Coal County,640.3,Overall,Overall,34.594034,-96.29397,20
MT,Roosevelt County,636.1,Overall,Overall,48.297198,-105.028375,2
KY,Lee County,630.2,Overall,Overall,37.595347,-83.722953,20
KY,Gallatin County,623.5,Overall,Overall,38.757587,-84.858742,20
