,State,County,Value,Gender,Race/Ethnicity,LatLng
0,AK,Aleutians East,105.3,Overall,Overall,"(55.440626, -161.962562)"
1,AK,Aleutians West,211.9,Overall,Overall,"(52.995403, -170.251538)"
2,AK,Anchorage,257.9,Overall,Overall,"(61.159049, -149.103905)"
3,AK,Bethel,351.6,Overall,Overall,"(60.924483, -159.749655)"
5,AK,Denali,305.5,Overall,Overall,"(63.678399, -149.962076)"
6,AK,Dillingham,411.6,Overall,Overall,"(59.803151, -158.181608)"
7,AK,Fairbanks North Star,305.7,Overall,Overall,"(64.809327, -146.586265)"
8,AK,Haines,295.7,Overall,Overall,"(59.140721, -135.513878)"
9,AK,Juneau,295.7,Overall,Overall,"(58.478434, -134.150437)"
10,AK,Kenai Peninsula,299.4,Overall,Overall,"(60.271254, -151.556972)"
11,AK,Ketchikan Gateway,326.8,Overall,Overall,"(55.559161, -131.351892)"
12,AK,Kodiak Island,274.8,Overall,Overall,"(57.715045, -153.83609)"
13,AK,Lake and Peninsula,387.0,Overall,Overall,"(58.652287, -156.184325)"
14,AK,Matanuska-Susitna,244.7,Overall,Overall,"(62.31628, -149.600476)"
15,AK,Nome,378.8,Overall,Overall,"(64.90346, -163.947945)"
16,AK,North Slope,327.4,Overall,Overall,"(69.309889, -153.398986)"
17,AK,Northwest Arctic,338.3,Overall,Overall,"(67.065111, -159.726506)"
19,AK,Sitka,261.9,Overall,Overall,"(57.237666, -135.284752)"
21,AK,Southeast Fairbanks,290.0,Overall,Overall,"(63.867414, -143.22069)"
22,AK,Valdez-Cordova,267.9,Overall,Overall,"(61.536161, -144.339956)"
23,AK,Wade Hampton,377.4,Overall,Overall,"(62.159714, -163.349484)"
26,AK,Yukon-Koyukuk,297.8,Overall,Overall,"(65.50404, -151.41038)"
28,AK,Aleutians West,347.9,Male,Overall,"(52.995403, -170.251538)"
29,AK,Anchorage,332.1,Male,Overall,"(61.159049, -149.103905)"
30,AK,Bethel,489.8,Male,Overall,"(60.924483, -159.749655)"
32,AK,Denali,401.2,Male,Overall,"(63.678399, -149.962076)"
33,AK,Dillingham,569.0,Male,Overall,"(59.803151, -158.181608)"
34,AK,Fairbanks North Star,401.2,Male,Overall,"(64.809327, -146.586265)"
35,AK,Haines,408.1,Male,Overall,"(59.140721, -135.513878)"
36,AK,Juneau,368.0,Male,Overall,"(58.478434, -134.150437)"
37,AK,Kenai Peninsula,367.1,Male,Overall,"(60.271254, -151.556972)"
38,AK,Ketchikan Gateway,496.9,Male,Overall,"(55.559161, -131.351892)"
39,AK,Kodiak Island,396.0,Male,Overall,"(57.715045, -153.83609)"
40,AK,Lake and Peninsula,526.8,Male,Overall,"(58.652287, -156.184325)"
41,AK,Matanuska-Susitna,306.3,Male,Overall,"(62.31628, -149.600476)"
42,AK,Nome,503.6,Male,Overall,"(64.90346, -163.947945)"
43,AK,North Slope,452.7,Male,Overall,"(69.309889, -153.398986)"
44,AK,Northwest Arctic,453.6,Male,Overall,"(67.065111, -159.726506)"
46,AK,Sitka,312.0,Male,Overall,"(57.237666, -135.284752)"
48,AK,Southeast Fairbanks,345.1,Male,Overall,"(63.867414, -143.22069)"
49,AK,Valdez-Cordova,332.2,Male,Overall,"(61.536161, -144.339956)"
50,AK,Wade Hampton,507.9,Male,Overall,"(62.159714, -163.349484)"
53,AK,Yukon-Koyukuk,387.9,Male,Overall,"(65.50404, -151.41038)"
56,AK,Anchorage,196.5,Female,Overall,"(61.159049, -149.103905)"
57,AK,Bethel,218.9,Female,Overall,"(60.924483, -159.749655)"
59,AK,Denali,212.9,Female,Overall,"(63.678399, -149.962076)"
60,AK,Dillingham,260.4,Female,Overall,"(59.803151, -158.181608)"
61,AK,Fairbanks North Star,212.2,Female,Overall,"(64.809327, -146.586265)"
62,AK,Haines,228.2,Female,Overall,"(59.140721, -135.513878)"
63,AK,Juneau,228.2,Female,Overall,"(58.478434, -134.150437)"
64,AK,Kenai Peninsula,213.9,Female,Overall,"(60.271254, -151.556972)"
65,AK,Ketchikan Gateway,164.3,Female,Overall,"(55.559161, -131.351892)"
66,AK,Kodiak Island,174.5,Female,Overall,"(57.715045, -153.83609)"
67,AK,Lake and Peninsula,226.9,Female,Overall,"(58.652287, -156.184325)"
68,AK,Matanuska-Susitna,199.4,Female,Overall,"(62.31628, -149.600476)"
69,AK,Nome,279.0,Female,Overall,"(64.90346, -163.947945)"
70,AK,North Slope,227.7,Female,Overall,"(69.309889, -153.398986)"
71,AK,Northwest Arctic,242.5,Female,Overall,"(67.065111, -159.726506)"
73,AK,Sitka,213.3,Female,Overall,"(57.237666, -135.284752)"
74,AK,Skagway-Hoonah-Angoon,181.2,Female,Overall,"(58.268082, -135.254153)"
75,AK,Southeast Fairbanks,199.8,Female,Overall,"(63.867414, -143.22069)"
76,AK,Valdez-Cordova,202.0,Female,Overall,"(61.536161, -144.339956)"
77,AK,Wade Hampton,255.8,Female,Overall,"(62.159714, -163.349484)"
80,AK,Yukon-Koyukuk,208.6,Female,Overall,"(65.50404, -151.41038)"
83,AK,Anchorage,253.4,Overall,White,"(61.159049, -149.103905)"
84,AK,Bethel,293.2,Overall,White,"(60.924483, -159.749655)"
86,AK,Denali,309.2,Overall,White,"(63.678399, -149.962076)"
88,AK,Fairbanks North Star,309.2,Overall,White,"(64.809327, -146.586265)"
89,AK,Haines,259.5,Overall,White,"(59.140721, -135.513878)"
90,AK,Juneau,259.5,Overall,White,"(58.478434, -134.150437)"
91,AK,Kenai Peninsula,289.9,Overall,White,"(60.271254, -151.556972)"
92,AK,Ketchikan Gateway,354.4,Overall,White,"(55.559161, -131.351892)"
93,AK,Kodiak Island,288.5,Overall,White,"(57.715045, -153.83609)"
94,AK,Lake and Peninsula,327.0,Overall,White,"(58.652287, -156.184325)"
95,AK,Matanuska-Susitna,253.5,Overall,White,"(62.31628, -149.600476)"
97,AK,North Slope,126.0,Overall,White,"(69.309889, -153.398986)"
100,AK,Sitka,241.8,Overall,White,"(57.237666, -135.284752)"
102,AK,Southeast Fairbanks,298.9,Overall,White,"(63.867414, -143.22069)"
103,AK,Valdez-Cordova,254.2,Overall,White,"(61.536161, -144.339956)"
107,AK,Yukon-Koyukuk,272.0,Overall,White,"(65.50404, -151.41038)"
110,AK,Anchorage,317.5,Male,White,"(61.159049, -149.103905)"
113,AK,Denali,400.7,Male,White,"(63.678399, -149.962076)"
115,AK,Fairbanks North Star,401.0,Male,White,"(64.809327, -146.586265)"
116,AK,Haines,385.5,Male,White,"(59.140721, -135.513878)"
117,AK,Juneau,281.6,Male,White,"(58.478434, -134.150437)"
118,AK,Kenai Peninsula,353.8,Male,White,"(60.271254, -151.556972)"
119,AK,Ketchikan Gateway,550.9,Male,White,"(55.559161, -131.351892)"
120,AK,Kodiak Island,414.2,Male,White,"(57.715045, -153.83609)"
121,AK,Lake and Peninsula,529.3,Male,White,"(58.652287, -156.184325)"
122,AK,Matanuska-Susitna,308.0,Male,White,"(62.31628, -149.600476)"
124,AK,North Slope,61.5,Male,White,"(69.309889, -153.398986)"
127,AK,Sitka,319.9,Male,White,"(57.237666, -135.284752)"
129,AK,Southeast Fairbanks,349.0,Male,White,"(63.867414, -143.22069)"
130,AK,Valdez-Cordova,317.7,Male,White,"(61.536161, -144.339956)"
134,AK,Yukon-Koyukuk,367.3,Male,White,"(65.50404, -151.41038)"
137,AK,Anchorage,197.6,Female,White,"(61.159049, -149.103905)"
138,AK,Bethel,209.1,Female,White,"(60.924483, -159.749655)"
140,AK,Denali,214.8,Female,White,"(63.678399, -149.962076)"
142,AK,Fairbanks North Star,214.9,Female,White,"(64.809327, -146.586265)"
143,AK,Haines,223.6,Female,White,"(59.140721, -135.513878)"
144,AK,Juneau,223.6,Female,White,"(58.478434, -134.150437)"
145,AK,Kenai Peninsula,207.0,Female,White,"(60.271254, -151.556972)"
146,AK,Ketchikan Gateway,161.2,Female,White,"(55.559161, -131.351892)"
147,AK,Kodiak Island,192.8,Female,White,"(57.715045, -153.83609)"
