,State,County,Value,Gender,Race/Ethnicity,Lat,Lng
83,AK,Anchorage,253.4,Overall,White,61.159049,-149.103905
491,AK,Alaska,272.4,Overall,White,64.3173,-152.571
103,AK,Valdez-Cordova,254.2,Overall,White,61.536161,-144.339956
102,AK,Southeast Fairbanks,298.9,Overall,White,63.867414,-143.22069
100,AK,Sitka,241.8,Overall,White,57.237666,-135.284752
97,AK,North Slope,126.0,Overall,White,69.309889,-153.398986
95,AK,Matanuska-Susitna,253.5,Overall,White,62.31628,-149.600476
94,AK,Lake and Peninsula,327.0,Overall,White,58.652287,-156.184325
107,AK,Yukon-Koyukuk,272.0,Overall,White,65.50404,-151.41038
92,AK,Ketchikan Gateway,354.4,Overall,White,55.559161,-131.351892
91,AK,Kenai Peninsula,289.9,Overall,White,60.271254,-151.556972
90,AK,Juneau,259.5,Overall,White,58.478434,-134.150437
89,AK,Haines,259.5,Overall,White,59.140721,-135.513878
88,AK,Fairbanks North Star,309.2,Overall,White,64.809327,-146.586265
86,AK,Denali,309.2,Overall,White,63.678399,-149.962076
84,AK,Bethel,293.2,Overall,White,60.924483,-159.749655
93,AK,Kodiak Island,288.5,Overall,White,57.715045,-153.83609
754,AL,Mobile County,443.0,Overall,White,30.801931,-88.209318
753,AL,Marshall County,520.3,Overall,White,34.373461,-86.301726
752,AL,Marion County,583.7,Overall,White,34.140618,-87.885921
751,AL,Marengo County,496.6,Overall,White,32.252503,-87.787786
750,AL,Madison County,395.0,Overall,White,34.765116,-86.548305
749,AL,Macon County,423.1,Overall,White,32.393582,-85.69193
745,AL,Lawrence County,534.7,Overall,White,34.524888,-87.309085
747,AL,Limestone County,468.8,Overall,White,34.816826,-86.981625
746,AL,Lee County,352.3,Overall,White,32.605632,-85.354778
744,AL,Lauderdale County,388.0,Overall,White,34.905347,-87.644897
743,AL,Lamar County,488.4,Overall,White,33.78226,-88.094104
742,AL,Jefferson County,355.0,Overall,White,33.558145,-86.898116
755,AL,Monroe County,387.7,Overall,White,31.57641,-87.363884
748,AL,Lowndes County,381.9,Overall,White,32.160667,-86.649084
756,AL,Montgomery County,353.8,Overall,White,32.22779,-86.207305
765,AL,Sumter County,451.0,Overall,White,32.592159,-88.198779
758,AL,Perry County,508.0,Overall,White,32.640101,-87.292576
1718,AL,Alabama,436.1,Overall,White,32.7949,-86.8267
771,AL,Wilcox County,478.4,Overall,White,31.997603,-87.309377
770,AL,Washington County,491.2,Overall,White,31.414015,-88.206517
769,AL,Walker County,687.5,Overall,White,33.808663,-87.297984
768,AL,Tuscaloosa County,395.4,Overall,White,33.297694,-87.520245
767,AL,Tallapoosa County,414.6,Overall,White,32.870228,-85.796142
757,AL,Morgan County,476.5,Overall,White,34.45678,-86.853086
766,AL,Talladega County,439.2,Overall,White,33.38655,-86.165729
764,AL,Shelby County,310.9,Overall,White,33.272349,-86.662124
763,AL,St. Clair County,441.1,Overall,White,33.714796,-86.317073
762,AL,Russell County,369.7,Overall,White,32.294434,-85.183533
761,AL,Randolph County,536.2,Overall,White,33.302268,-85.45696
